25	10	25								
25	10	-3								
25	10	25								
91.36	10	25								
91.36	10	-3								
91.36	10	25								
157.72	10	25								
157.72	10	-3								
157.72	10	25								
224.08	10	25								
224.08	10	-3								
224.08	10	25								
290.44	10	25								
290.44	10	-3								
290.44	10	25								
356.8	10	25								
356.8	10	-3								
356.8	10	25								
423.16	10	25								
423.16	10	-3								
423.16	10	25								
489.52	10	25								
489.52	10	-3								
489.52	10	25								
555.88	10	25								
555.88	10	-3								
555.88	10	25								
622.24	10	25								
622.24	10	-3								
622.24	10	25								
688.6	10	25								
688.6	10	-3								
688.6	10	25								
754.96	10	25								
754.96	10	-3								
754.96	10	25								
821.32	10	25								
821.32	10	-3								
821.32	10	25								
887.68	10	25								
887.68	10	-3								
887.68	10	25								
954.04	10	25								
954.04	10	-3								
954.04	10	25								
1020.4	10	25								
1020.4	10	-3								
1020.4	10	25								
1020.4	138.4	25								
1020.4	138.4	-3								
1020.4	138.4	25								
954.04	138.4	25								
954.04	138.4	-3								
954.04	138.4	25								
887.68	138.4	25								
887.68	138.4	-3								
887.68	138.4	25								
821.32	138.4	25								
821.32	138.4	-3								
821.32	138.4	25								
754.96	138.4	25								
754.96	138.4	-3								
754.96	138.4	25								
688.6	138.4	25								
688.6	138.4	-3								
688.6	138.4	25								
622.24	138.4	25								
622.24	138.4	-3								
622.24	138.4	25								
555.88	138.4	25								
555.88	138.4	-3								
555.88	138.4	25								
489.52	138.4	25								
489.52	138.4	-3								
489.52	138.4	25								
423.16	138.4	25								
423.16	138.4	-3								
423.16	138.4	25								
356.8	138.4	25								
356.8	138.4	-3								
356.8	138.4	25								
290.44	138.4	25								
290.44	138.4	-3								
290.44	138.4	25								
224.08	138.4	25								
224.08	138.4	-3								
224.08	138.4	25								
157.72	138.4	25								
157.72	138.4	-3								
157.72	138.4	25								
91.36	138.4	25								
91.36	138.4	-3								
91.36	138.4	25								
25	138.4	25								
25	138.4	-3								
25	138.4	25								
25	35.68	25								
25	35.68	-3								
25	35.68	25								
25	61.36	25								
25	61.36	-3								
25	61.36	25								
25	87.04	25								
25	87.04	-3								
25	87.04	25								
25	112.72	25								
25	112.72	-3								
25	112.72	25								
224.08	35.68	25								
224.08	35.68	-3								
224.08	35.68	25								
224.08	61.36	25								
224.08	61.36	-3								
224.08	61.36	25								
224.08	87.04	25								
224.08	87.04	-3								
224.08	87.04	25								
224.08	112.72	25								
224.08	112.72	-3								
224.08	112.72	25								
423.16	35.68	25								
423.16	35.68	-3								
423.16	35.68	25								
423.16	61.36	25								
423.16	61.36	-3								
423.16	61.36	25								
423.16	87.04	25								
423.16	87.04	-3								
423.16	87.04	25								
423.16	112.72	25								
423.16	112.72	-3								
423.16	112.72	25								
622.24	35.68	25								
622.24	35.68	-3								
622.24	35.68	25								
622.24	61.36	25								
622.24	61.36	-3								
622.24	61.36	25								
622.24	87.04	25								
622.24	87.04	-3								
622.24	87.04	25								
622.24	112.72	25								
622.24	112.72	-3								
622.24	112.72	25								
821.32	35.68	25								
821.32	35.68	-3								
821.32	35.68	25								
821.32	61.36	25								
821.32	61.36	-3								
821.32	61.36	25								
821.32	87.04	25								
821.32	87.04	-3								
821.32	87.04	25								
821.32	112.72	25								
821.32	112.72	-3								
821.32	112.72	25								
1020.4	35.68	25								
1020.4	35.68	-3								
1020.4	35.68	25								
1020.4	61.36	25								
1020.4	61.36	-3								
1020.4	61.36	25								
1020.4	87.04	25								
1020.4	87.04	-3								
1020.4	87.04	25								
1020.4	112.72	25								
1020.4	112.72	-3								
1020.4	112.72	25								
