25	10.8	25							
25	10.8	-3							
25	10.8	25							
91.36	10.8	25							
91.36	10.8	-3							
91.36	10.8	25							
157.72	10.8	25							
157.72	10.8	-3							
157.72	10.8	25							
224.08	10.8	25							
224.08	10.8	-3							
224.08	10.8	25							
290.44	10.8	25							
290.44	10.8	-3							
290.44	10.8	25							
356.8	10.8	25							
356.8	10.8	-3							
356.8	10.8	25							
423.16	10.8	25							
423.16	10.8	-3							
423.16	10.8	25							
489.52	10.8	25							
489.52	10.8	-3							
489.52	10.8	25							
555.88	10.8	25							
555.88	10.8	-3							
555.88	10.8	25							
622.24	10.8	25							
622.24	10.8	-3							
622.24	10.8	25							
688.6	10.8	25							
688.6	10.8	-3							
688.6	10.8	25							
754.96	10.8	25							
754.96	10.8	-3							
754.96	10.8	25							
821.32	10.8	25							
821.32	10.8	-3							
821.32	10.8	25							
887.68	10.8	25							
887.68	10.8	-3							
887.68	10.8	25							
954.04	10.8	25							
954.04	10.8	-3							
954.04	10.8	25							
1020.4	10.8	25							
1020.4	10.8	-3							
1020.4	10.8	25							
1086.76	10.8	25							
1086.76	10.8	-3							
1086.76	10.8	25							
1153.12	10.8	25							
1153.12	10.8	-3							
1153.12	10.8	25							
1219.48	10.8	25							
1219.48	10.8	-3							
1219.48	10.8	25							
1285.84	10.8	25							
1285.84	10.8	-3							
1285.84	10.8	25							
1352.2	10.8	25							
1352.2	10.8	-3							
1352.2	10.8	25							
1285.84	200	25							
1285.84	200	-3							
1285.84	200	25							
1219.48	200	25							
1219.48	200	-3							
1219.48	200	25							
1153.12	200	25							
1153.12	200	-3							
1153.12	200	25							
1086.76	200	25							
1086.76	200	-3							
1086.76	200	25							
1020.4	200	25							
1020.4	200	-3							
1020.4	200	25							
954.04	200	25							
954.04	200	-3							
954.04	200	25							
887.68	200	25							
887.68	200	-3							
887.68	200	25							
821.32	200	25							
821.32	200	-3							
821.32	200	25							
754.96	200	25							
754.96	200	-3							
754.96	200	25							
688.6	200	25							
688.6	200	-3							
688.6	200	25							
622.24	200	25							
622.24	200	-3							
622.24	200	25							
555.88	200	25							
555.88	200	-3							
555.88	200	25							
489.52	200	25							
489.52	200	-3							
489.52	200	25							
423.16	200	25							
423.16	200	-3							
423.16	200	25							
356.8	200	25							
356.8	200	-3							
356.8	200	25							
290.44	200	25							
290.44	200	-3							
290.44	200	25							
224.08	200	25							
224.08	200	-3							
224.08	200	25							
157.72	200	25							
157.72	200	-3							
157.72	200	25							
91.36	200	25							
91.36	200	-3							
91.36	200	25							
25	200	25							
25	200	-3							
25	200	25							
25	389.2	25							
25	389.2	-3							
25	389.2	25							
91.36	389.2	25							
91.36	389.2	-3							
91.36	389.2	25							
157.72	389.2	25							
157.72	389.2	-3							
157.72	389.2	25							
224.08	389.2	25							
224.08	389.2	-3							
224.08	389.2	25							
290.44	389.2	25							
290.44	389.2	-3							
290.44	389.2	25							
356.8	389.2	25							
356.8	389.2	-3							
356.8	389.2	25							
423.16	389.2	25							
423.16	389.2	-3							
423.16	389.2	25							
489.52	389.2	25							
489.52	389.2	-3							
489.52	389.2	25							
555.88	389.2	25							
555.88	389.2	-3							
555.88	389.2	25							
622.24	389.2	25							
622.24	389.2	-3							
622.24	389.2	25							
688.6	389.2	25							
688.6	389.2	-3							
688.6	389.2	25							
754.96	389.2	25							
754.96	389.2	-3							
754.96	389.2	25							
821.32	389.2	25							
821.32	389.2	-3							
821.32	389.2	25							
887.68	389.2	25							
887.68	389.2	-3							
887.68	389.2	25							
954.04	389.2	25							
954.04	389.2	-3							
954.04	389.2	25							
1020.4	389.2	25							
1020.4	389.2	-3							
1020.4	389.2	25							
1086.76	389.2	25							
1086.76	389.2	-3							
1086.76	389.2	25							
1153.12	389.2	25							
1153.12	389.2	-3							
1153.12	389.2	25							
